日期,输出结果,日期2,星期几,值班人员
20190101,,2019/1/1,星期二,
20190102,,2019/1/2,星期三,
20190103,,2019/1/3,星期四,
20190104,,2019/1/4,星期五,
20190105,,2019/1/5,星期六,
20190106,,2019/1/6,星期日,
20190107,,2019/1/7,星期一,
20190108,,2019/1/8,星期二,
20190109,,2019/1/9,星期三,
20190110,,2019/1/10,星期四,
20190111,,2019/1/11,星期五,
20190112,,2019/1/12,星期六,
20190113,,2019/1/13,星期日,
20190114,,2019/1/14,星期一,
20190115,,2019/1/15,星期二,
20190116,,2019/1/16,星期三,
20190117,,2019/1/17,星期四,
20190118,,2019/1/18,星期五,
20190119,,2019/1/19,星期六,
20190120,,2019/1/20,星期日,
20190121,,2019/1/21,星期一,
20190122,,2019/1/22,星期二,
20190123,,2019/1/23,星期三,
20190124,,2019/1/24,星期四,
20190125,,2019/1/25,星期五,
20190126,,2019/1/26,星期六,
20190127,,2019/1/27,星期日,
20190128,,2019/1/28,星期一,
20190129,,2019/1/29,星期二,
20190130,,2019/1/30,星期三,
20190131,,2019/1/31,星期四,
20190201,,2019/2/1,星期五,
20190202,,2019/2/2,星期六,
20190203,,2019/2/3,星期日,
20190204,,2019/2/4,星期一,
20190205,,2019/2/5,星期二,
20190206,,2019/2/6,星期三,
20190207,,2019/2/7,星期四,
20190208,,2019/2/8,星期五,
20190209,,2019/2/9,星期六,
20190210,,2019/2/10,星期日,
20190211,,2019/2/11,星期一,
20190212,,2019/2/12,星期二,
20190213,,2019/2/13,星期三,
20190214,,2019/2/14,星期四,
20190215,,2019/2/15,星期五,
20190216,,2019/2/16,星期六,
20190217,,2019/2/17,星期日,
20190218,,2019/2/18,星期一,
20190219,,2019/2/19,星期二,
20190220,,2019/2/20,星期三,
20190221,,2019/2/21,星期四,
20190222,,2019/2/22,星期五,
20190223,,2019/2/23,星期六,
20190224,,2019/2/24,星期日,
20190225,,2019/2/25,星期一,
20190226,,2019/2/26,星期二,
20190227,,2019/2/27,星期三,
20190228,,2019/2/28,星期四,
20190301,,2019/3/1,星期五,
20190302,,2019/3/2,星期六,
20190303,,2019/3/3,星期日,
20190304,,2019/3/4,星期一,
20190305,,2019/3/5,星期二,
20190306,,2019/3/6,星期三,
20190307,,2019/3/7,星期四,
20190308,,2019/3/8,星期五,
20190309,,2019/3/9,星期六,
20190310,,2019/3/10,星期日,
20190311,,2019/3/11,星期一,
20190312,,2019/3/12,星期二,
20190313,,2019/3/13,星期三,
20190314,,2019/3/14,星期四,
20190315,,2019/3/15,星期五,
20190316,,2019/3/16,星期六,
20190317,,2019/3/17,星期日,
20190318,,2019/3/18,星期一,
20190319,,2019/3/19,星期二,
20190320,,2019/3/20,星期三,
20190321,,2019/3/21,星期四,
20190322,,2019/3/22,星期五,
20190323,,2019/3/23,星期六,
20190324,,2019/3/24,星期日,
20190325,,2019/3/25,星期一,
20190326,,2019/3/26,星期二,
20190327,,2019/3/27,星期三,
20190328,,2019/3/28,星期四,
20190329,,2019/3/29,星期五,
20190330,,2019/3/30,星期六,
20190331,,2019/3/31,星期日,
20190401,,2019/4/1,星期一,
