日期,输出结果,日期2,星期几,值班人员
20190801,,2019/8/1,星期四,
20190802,,2019/8/2,星期五,
20190803,,2019/8/3,星期六,
20190804,,2019/8/4,星期日,
20190805,,2019/8/5,星期一,
20190806,,2019/8/6,星期二,
20190807,,2019/8/7,星期三,
20190808,,2019/8/8,星期四,
20190809,,2019/8/9,星期五,
20190810,,2019/8/10,星期六,
20190811,,2019/8/11,星期日,
20190812,,2019/8/12,星期一,
20190813,,2019/8/13,星期二,
20190814,,2019/8/14,星期三,
20190815,,2019/8/15,星期四,
20190816,,2019/8/16,星期五,
20190817,,2019/8/17,星期六,
20190818,,2019/8/18,星期日,
20190819,,2019/8/19,星期一,
20190820,,2019/8/20,星期二,
20190821,,2019/8/21,星期三,
20190822,,2019/8/22,星期四,
20190823,,2019/8/23,星期五,
20190824,,2019/8/24,星期六,
20190825,,2019/8/25,星期日,
20190826,,2019/8/26,星期一,
20190827,,2019/8/27,星期二,
20190828,,2019/8/28,星期三,
20190829,,2019/8/29,星期四,
20190830,,2019/8/30,星期五,
20190831,,2019/8/31,星期六,
20190901,,2019/9/1,星期日,
20190902,,2019/9/2,星期一,
20190903,,2019/9/3,星期二,
20190904,,2019/9/4,星期三,
20190905,,2019/9/5,星期四,
20190906,,2019/9/6,星期五,
20190907,,2019/9/7,星期六,
20190908,,2019/9/8,星期日,
20190909,,2019/9/9,星期一,
20190910,,2019/9/10,星期二,
20190911,,2019/9/11,星期三,
20190912,,2019/9/12,星期四,
20190913,,2019/9/13,星期五,
20190914,,2019/9/14,星期六,
20190915,,2019/9/15,星期日,
20190916,,2019/9/16,星期一,
20190917,,2019/9/17,星期二,
20190918,,2019/9/18,星期三,
20190919,,2019/9/19,星期四,
20190920,,2019/9/20,星期五,
20190921,,2019/9/21,星期六,
20190922,,2019/9/22,星期日,
20190923,,2019/9/23,星期一,
20190924,,2019/9/24,星期二,
20190925,,2019/9/25,星期三,
20190926,,2019/9/26,星期四,
20190927,,2019/9/27,星期五,
20190928,,2019/9/28,星期六,
20190929,,2019/9/29,星期日,
20190930,,2019/9/30,星期一,
20191001,,2019/10/1,星期二,
20191002,,2019/10/2,星期三,
20191003,,2019/10/3,星期四,
20191004,,2019/10/4,星期五,
20191005,,2019/10/5,星期六,
20191006,,2019/10/6,星期日,
20191007,,2019/10/7,星期一,
20191008,,2019/10/8,星期二,
20191009,,2019/10/9,星期三,
20191010,,2019/10/10,星期四,
20191011,,2019/10/11,星期五,
20191012,,2019/10/12,星期六,
20191013,,2019/10/13,星期日,
20191014,,2019/10/14,星期一,
20191015,,2019/10/15,星期二,
20191016,,2019/10/16,星期三,
20191017,,2019/10/17,星期四,
20191018,,2019/10/18,星期五,
20191019,,2019/10/19,星期六,
20191020,,2019/10/20,星期日,
20191021,,2019/10/21,星期一,
20191022,,2019/10/22,星期二,
20191023,,2019/10/23,星期三,
20191024,,2019/10/24,星期四,
20191025,,2019/10/25,星期五,
20191026,,2019/10/26,星期六,
20191027,,2019/10/27,星期日,
20191028,,2019/10/28,星期一,
20191029,,2019/10/29,星期二,
20191030,,2019/10/30,星期三,
20191031,,2019/10/31,星期四,
20191101,,2019/11/1,星期五,
20191102,,2019/11/2,星期六,
20191103,,2019/11/3,星期日,
20191104,,2019/11/4,星期一,
20191105,,2019/11/5,星期二,
20191106,,2019/11/6,星期三,
20191107,,2019/11/7,星期四,
20191108,,2019/11/8,星期五,
20191109,,2019/11/9,星期六,
20191110,,2019/11/10,星期日,
20191111,,2019/11/11,星期一,
20191112,,2019/11/12,星期二,
20191113,,2019/11/13,星期三,
20191114,,2019/11/14,星期四,
20191115,,2019/11/15,星期五,
20191116,,2019/11/16,星期六,
20191117,,2019/11/17,星期日,
20191118,,2019/11/18,星期一,
20191119,,2019/11/19,星期二,
20191120,,2019/11/20,星期三,
20191121,,2019/11/21,星期四,
20191122,,2019/11/22,星期五,
20191123,,2019/11/23,星期六,
20191124,,2019/11/24,星期日,
20191125,,2019/11/25,星期一,
20191126,,2019/11/26,星期二,
20191127,,2019/11/27,星期三,
20191128,,2019/11/28,星期四,
20191129,,2019/11/29,星期五,
20191130,,2019/11/30,星期六,
20191201,,2019/12/1,星期日,
20191202,,2019/12/2,星期一,
20191203,,2019/12/3,星期二,
20191204,,2019/12/4,星期三,
20191205,,2019/12/5,星期四,
20191206,,2019/12/6,星期五,
20191207,,2019/12/7,星期六,
20191208,,2019/12/8,星期日,
20191209,,2019/12/9,星期一,
20191210,,2019/12/10,星期二,
20191211,,2019/12/11,星期三,
20191212,,2019/12/12,星期四,
20191213,,2019/12/13,星期五,
20191214,,2019/12/14,星期六,
20191215,,2019/12/15,星期日,
20191216,,2019/12/16,星期一,
20191217,,2019/12/17,星期二,
20191218,,2019/12/18,星期三,
20191219,,2019/12/19,星期四,
20191220,,2019/12/20,星期五,
20191221,,2019/12/21,星期六,
20191222,,2019/12/22,星期日,
20191223,,2019/12/23,星期一,
20191224,,2019/12/24,星期二,
20191225,,2019/12/25,星期三,
20191226,,2019/12/26,星期四,
20191227,,2019/12/27,星期五,
20191228,,2019/12/28,星期六,
20191229,,2019/12/29,星期日,
20191230,,2019/12/30,星期一,
20191231,,2019/12/31,星期二,
