日期,输出结果,日期2,星期几,值班人员
20190801,0,2019/8/1,星期四,张三
20190802,0,2019/8/2,星期五,李四
20190803,3,2019/8/3,星期六,Tom
20190804,3,2019/8/4,星期日,Jerry
20190805,0,2019/8/5,星期一,王五
20190806,0,2019/8/6,星期二,马六
20190807,0,2019/8/7,星期三,赵一
20190808,0,2019/8/8,星期四,钱二
20190809,0,2019/8/9,星期五,孙三
20190810,3,2019/8/10,星期六,Leo
20190811,3,2019/8/11,星期日,Lily
20190812,0,2019/8/12,星期一,张三
20190813,0,2019/8/13,星期二,李四
20190814,0,2019/8/14,星期三,王五
20190815,0,2019/8/15,星期四,马六
20190816,0,2019/8/16,星期五,赵一
20190817,3,2019/8/17,星期六,John
20190818,3,2019/8/18,星期日,Tom
20190819,0,2019/8/19,星期一,钱二
20190820,0,2019/8/20,星期二,孙三
20190821,0,2019/8/21,星期三,张三
20190822,0,2019/8/22,星期四,李四
20190823,0,2019/8/23,星期五,王五
20190824,3,2019/8/24,星期六,Jerry
20190825,3,2019/8/25,星期日,Leo
20190826,0,2019/8/26,星期一,马六
20190827,0,2019/8/27,星期二,赵一
20190828,0,2019/8/28,星期三,钱二
20190829,0,2019/8/29,星期四,孙三
20190830,0,2019/8/30,星期五,张三
20190831,3,2019/8/31,星期六,Lily
20190901,3,2019/9/1,星期日,John
20190902,0,2019/9/2,星期一,李四
20190903,0,2019/9/3,星期二,王五
20190904,0,2019/9/4,星期三,马六
20190905,0,2019/9/5,星期四,赵一
20190906,0,2019/9/6,星期五,钱二
20190907,3,2019/9/7,星期六,Tom
20190908,3,2019/9/8,星期日,Jerry
20190909,0,2019/9/9,星期一,孙三
20190910,0,2019/9/10,星期二,张三
20190911,0,2019/9/11,星期三,李四
20190912,0,2019/9/12,星期四,王五
20190913,1,2019/9/13,星期五,Leo
20190914,1,2019/9/14,星期六,Lily
20190915,1,2019/9/15,星期日,John
20190916,0,2019/9/16,星期一,马六
